title,requirement
Sr Software Applications Engineer (WLAN/Wigig),"
Job description
      Job Id
Job Title Sr Software Applications Engineer (WLAN/Wigig)
Post Date 04/27/2017
Company - Division Qualcomm Technologies, Inc. - CDMA Technology
Job Area Engineering - Customer Engineering
Location Taiwan
Job Overview Wigig(11ad) is another advanced RF technology similar to WLAN. It provides very high Tput at closer distance. However, in SW protocol point of view, its same as WLAN. Job Function: 1. Provide technical support (including on-site) to key customers R&D team as the first line contact window to solve Qualcomm WLAN or Wigig SW issues. 2.Able to quickly and efficiently find out the root cause of technical issues and discuss with worldwide R&D team for problem solving. 3.Make application notes and do training for new technology/solution introduction to external/internal customers in English. 4. main function of this position will be Wigig in the beginning, but this person will also handle WLAN support.
Qualifications
Minimum Qualifications Requirement
Minimum 5 years work experience in WLAN, Wigig or any connectivity technologyBS in EE/CS required, Master degree preferred.Fluent English communication in writing and speaking is MUST.Experience working directly with customers, outgoing personality, enjoying working with customers. Experience with Linux device driver, Android programming, networking protocol is must. Mobile phone industry work experience is a plus. Familiar with WiFi protocol stack is a big plus Experience working with foreign customers or partners is a plus.
Preferred Qualifications
Preferred Qualifications NA
Education Requirements Master's, Computer Engineering and/or Electrical Engineering or equivalent experience Preferred: Doctorate, Computer Engineering and/or Computer Science and/or Electrical Engineering
Keywords
    "
Software Design Engineer / Programmer,"
Job description

Key Responsibilities
 Software development and testing Conceptual software design Machinery concepts Service
Key Requirements
 Operations systems: Windows, real-time operating system (like VxWorks) experience would be added advantage Programming languages: C, C++, C# (Assembler is a plus) Basic knowledge in closed loop control, driving techniques or microelectronics Good command of MS office and MS project Work experience as service staff or installation technician preferable Possess good written and verbal communication skills Written and spoken mandarin and English language is essential Analyze technical tasks and develop creative and cost conscious solutions Practice-oriented, aim/goal oriented, ability to work under pressure Assertiveness, distinct organizing skill, team spirit Self-responsible and independent working attitude, independent, hardworking and possess the right initiative
Job Benefits
Work at home job.
    "
"Staff/ Senior Software Engineer, Network Management Systems","
Job description
      7+ years of experience building something you are proud of!  Have a deep understanding of Java. We also use JavaScript, Python and C/C++ for our day to day. 
  We develop software on Linux platform, so you need to be able to do this.  Strong knowledge of Object-Oriented Design and Methodologies, and design patterns. 
   Solid understanding on basic networking protocols, able to trace packets and know where they get dropped.  Able to communicate your designs with developers and managers from around the worlds using the appropriate media. English is a must!  A degree or diploma in Computer Science or Engineering
    "
Software Engineer,"
Job description
Responsibilities
Develop and operate innovative cluster software and Wi-Fi services for wireless access.Work closely with our highest level technologists to develop and support cloud services upon big data on HA architecture with scaling.Interface to our support team to assist in analyzing and resolving customer issues
Required Soft Skills
Strong motivation and dare to accept challenge with patienceAbility to identify development dependencies Strong Java framework survey ability. Ability to quickly read, understand and explain technical topics to the team as well as senior management
 Let’s Connect Today 
Over the past 20 years, Brocade has solved the greatest business challenges with networking solutions that have transformed the world.
Today, we believe the network is the platform for innovation that helps organizations achieve more than they ever thought possible. If you feel the same way, we want to meet you.
At Brocade you’ll help create the networks that connect people to what matters most all around the world. You’ll work with 6,000 of the brightest minds in a dynamic, diverse environment where you can see the immediate results of your efforts.
 IP Networking Leadership 
Brocade is a pioneer and leader in the IP networking market, with key offerings in d ata center switching and routing; software networking; wired and wireless edge networking; mobile networking; and network visibility and analytics. To help ensure a complete solution for our customers, we strategically partner with top technology companies around the world.
 When you’re ready to make a bigger impact, Brocade is the place to be. Let’s connect today! 
Primary Location
Asia Pacific and Japan-Taiwan
Minimum Qualifications
Bachelor’s degree in Computer Science or another technical field or equivalent practical experience8+ years of relevant work experience in leading and technically managing projectsExperience writing software, design & system architecture specificationsFamiliar with Java/J2EE/Spring framework
Preferred Qualifications
Experience with building large-scale distributed enterprise or hosted systemsExperience & knowledge of Jgroup, Apache Cassandra, Hadoop, ElasticSearch, Hive, Pig, is a strong plus.Have ability to effectively communicate across globally distributed cross-functional teams and roles.Excellent analytical, problem-solving, organizational, communication and interpersonal skillsPrevious experience with network management systemsExpertise in one or more languages such as Java, C, Python. Ability to apply programming skills on any language
Brocade is committed to providing equal employment opportunity for all employees and applicants for employment. We do not discriminate in employment opportunities or practices on the basis of race, color, religion/religious creed, sex, marital or registered domestic partnership status, age, national origin, ancestry, physical or mental disability, medical condition, military or veteran status, sexual orientation, gender, gender identity and/or expression, genetic information, or any other characteristic protected by the laws or regulations of any jurisdiction in which we operate. We base all employment decisions - including recruitment, selection, training, compensation, benefits, discipline, promotions, transfers, layoffs, terminations and social/recreational programs on merit and the principles of equal employment opportunity.
"
Embedded System Software Engineer,"
Job description
      Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will work with SoC architects and hardware teams to co-design future mobile systems at Google. You will be working on new devices, chips, and architectures to improve system performance and user experience.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Consumer Hardware team researches, designs, and develops new technologies and hardware to make our user's interaction with computing faster, more powerful, and seamless. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, our Consumer Hardware team is making people's lives better through technology.
Responsibilities
Design and implement firmware for mobile systems. Design and implement tools for system bring-up, debugging, and performance/power evaluation. Design and implement functional tests to validate the correctness and performance of individual components and system in pre- and post-silicon environments. 
Qualifications
Minimum qualifications:
MS degree in EE/CS or relevant technical field or equivalent practical experience. Experience coding in C or C++ 
Preferred Qualifications
ARM SoC architecture and standard interfaces; Bare-metal programming, bootloader and firmware; Linux kernel and device drivers; Android system programming Software/hardware integration Verification using FPGAs and/or emulation platforms Image processing software/hardware architecture 
At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know.
To all recruitment agencies Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes.
    "
"e-Commerce Android Software Engineer/Sr. Engineer, Yahoo Taiwan","
Job description
A Little About Us
APAC Mobile, E-commerce Engineering team. E-commerce (Shopping, Auction, Marketplace) is a unique business in APAC within Yahoo! We are hiring more native app developers to deliver more quality EC apps to the market. The EC mobile team is responsible for delivering world-class EC-focused native apps on both iOS and Android platforms.
A Lot About You
We are seeking top talent in Mobile app development area (Android preferred) to define, design and support our growing E-commerce applications. As a Yahoo Mobile App developer, you will join the cutting-edge development from concept stage to deliver and post launch support and enhancement. In addition to delivering the product, you will also be involved in reviewing out source developed app and prototyping for new UI and concept.
Your Day
Work with product managers and designers to develop mobile app based on their requirement. Also join the discussion, contribute your domain knowledge to improve the UXWork with global mobile team to leverage the results from themInvolved in reviewing outsource developed appPrototyping for new UI and conceptInvolved in app testing, including unit test and UI automation test 
You Must Have
BS/MS in related technical fields.5+ years of software development including school or industrial projectsGood communication and collaboration skills with user-focused thinking.Excellent analytical and problem solving skills and desire to learn new skills.Ability to take initiative and be innovativeAndroid App development experience
Primary Location
Taiwan-Taipei City-Taipei
    "
Mobile System Software Engineer,"
Job description
      We are now looking for a Mobile System SW Engineer in our Taiwan, Taipei Office!
What You’ll Be Doing
Work on system software (Android) for the latest cutting-edge NVIDIA Tegra hardwareParticipate in various projects including application layer, OS kernel, device driver etc..Design, develop, and enhance new products and features
What We Need To See
4+ working experience with BS or MS in Computer Science, Electrical Engineering, or related technical fieldExcellent programming skills in C and C++Knowledge of embedded or mobile system softwareKnowledge of Computer Vision is a plusWorking experience on Android and Embedded Linux OS is a plus
Ways To Stand Out From The Crowd
Good communication skillsA strong team player; self-motivated and good attitude
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most brilliant and talented people on the planet working for us. If you're creative and autonomous, we want to hear from you!

    "
Software Principal Engineer (Audio),"
Job description
      Responsible for Software/Driver management for assigned projectsParticipates in the preparation, review, and analysis of Software requirements and specifications.Participates in the creation of design, functional, technical, and/or user documentation, as needed.Provide ODMs and vendor's assessment for new product development, and manage ODMs and vendors for software development, issue management for root causing, resolution and closure through the entire cycles.Clearly communicate project issues and status.Manage TP/ODM to conduct troubleshooting, root-causing and bug fix for any software related issues.Accurately log project schedule, defect, and other data into the appropriate databases. Team work with other functional teams like EE, BIOS, Testing, Dell internal software team and so on. 
Skill Set
Software project management experience, including planning, risk/change management and supplier management Familiar with Windows OS/driver architecture. Device Driver/Software programming experience. Good analytical, problem solving, and debugging skills. Basic understanding of hardware and BIOS interactions. Good interpersonal/communication skills. Ability to operate as an individual contributor and within a team environment. Good English skill.
Education
Minimum: Bachelor Degree EXPERIENCE: Minimum: 6-10 years relevant work experience required
Life at Dell
Learn about Dell culture, the interviewing process and benefits offered in your location: Life at Dell
Job
SW Engineering
Primary Location
AP-TW-TPE-Taipei
Shift
Day Job
Organization
Client Solutions
Job Function: Engineering Development
    "
Software Design Engineer,"
Job description
      If you are moldable, willing to take up challenge and have passion in gaming accessories and consumer electronics peripherals, we have a job for you.

This is a software R&D development position focusing on mobile device, peripheral and gaming products. 
- Sound knowledge in system, server, cloud, networking, storage, video, audio and applications
- Good communication skill in English, verbal and writing
– Over 3yrs experience in iOS Apps, Android Apps, and Windows/Linux programming
- Able to work under pressure with limited supervision
- Can work as a team player and good at cross department communication
    "
Software Engineer,"
Job description
      A leading E-commerce company is now expending their business oversea. They are now looking for Sr. Engineer to build up latest high-tech platform including e-commerce services, trading system services, reporting systems, supplier systems.
Job Description
 Development cloud e-commerce applications for more than 10 million users. Responsible for system analysis, design, programming and unit testing. Provide RESTful API and other systems (such as mobile Apps). Keep the systems running without interruption
Technical Qualifications
 Familiar with C#、Asp.Net MVC、Web related skills. Ability to deliver on tight schedules. Excellent collaborative skills, should be a great team player.

    "
